ScilifelabDataCentre/precision-medicine-portal-backend	Dockerfile
ScilifelabDataCentre/precision-medicine-portal-backend	.github/workflows
ScilifelabDataCentre/dashfold	pyproject.toml
ScilifelabDataCentre/data-platform-scripts	requirements.txt
ScilifelabDataCentre/serve-images	.github/workflows
ScilifelabDataCentre/Annual_report_Bibliometry	requirements.txt
ScilifelabDataCentre/form-manager	requirements.txt
ScilifelabDataCentre/form-manager	docker-compose.yml
ScilifelabDataCentre/form-manager	.github/workflows
ScilifelabDataCentre/shiny-adhd-medication-sweden	Dockerfile
ScilifelabDataCentre/shiny-adhd-medication-sweden	.github/workflows
ScilifelabDataCentre/shiny-adhd-medication-sweden	renv.lock
ScilifelabDataCentre/dash-covid-in-sweden	requirements.txt
ScilifelabDataCentre/dash-covid-in-sweden	Dockerfile
ScilifelabDataCentre/dash-covid-in-sweden	.github/workflows
ScilifelabDataCentre/covid-sample-collection-database	.github/workflows
ScilifelabDataCentre/blobserver	requirements.txt
ScilifelabDataCentre/blobserver	.github/workflows
ScilifelabDataCentre/dc-bot	requirements.txt
ScilifelabDataCentre/dc-bot	Dockerfile
ScilifelabDataCentre/dc-bot	.github/workflows
ScilifelabDataCentre/scilifelab-data-guidelines	requirements.txt
ScilifelabDataCentre/Publications	requirements.txt
ScilifelabDataCentre/Publications	.github/workflows
ScilifelabDataCentre/omero-prometheus-tools	Dockerfile
ScilifelabDataCentre/omero-prometheus-tools	.github/workflows
ScilifelabDataCentre/cedar-cli	requirements.txt
ScilifelabDataCentre/ena-upload-cli	requirements.txt
ScilifelabDataCentre/ena-upload-cli	.github/workflows
